FireGirlTrials_PolicyComparisons_1 Outputs


PATHWAYS GENERATED UNDER a LET-BURN POLICY
supp_ave,supp_min,supp_max,supp_std,supp_95_low,supp_95_high,harv_ave,harv_min,harv_max,harv_std,harv_95_low,harv_95_high,grwth_ave,grwth_min,grwth_max,grwth_std,grwth_95_low,grwth_95_high,cells_burned_ave,cells_burned_min,cells_burned_max,cells_burned_std,cells_burned_95_low,cells_burned_95_high,timb_lost_ave,timb_lost_min,timb_lost_max,timb_lost_std,timb_lost_95_low,timb_lost_95_high,supp_decicions
0.0,0.0,0.0,0.0,0.0,0.0,4234.418,1888.321,6764.018,1234.568,6714.122,1754.715,4418.613,1878.265,7094.453,1303.872,7037.518,1799.709,10.4,1.0,77.0,19.32,829.42,-28.406,132.308,0.0,77.0,347.071,829.42,-564.805,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4247.942,1822.417,6721.597,1210.859,6680.023,1815.861,4428.682,1860.249,7056.634,1278.407,6996.438,1860.925,44.72,1.0,1153.0,169.176,6172.224,-295.08,668.34,0.0,1153.0,2740.215,6172.224,-4835.544,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4259.394,1952.562,6715.279,1199.423,6668.507,1850.282,4449.28,2032.826,7035.098,1263.633,6987.362,1911.199,45.6,1.0,746.0,134.894,5389.759,-225.342,725.933,0.0,746.0,2321.976,5389.759,-3937.893,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4254.702,1996.702,6688.075,1182.973,6630.774,1878.63,4435.441,2003.249,6988.028,1247.761,6941.643,1929.238,15.24,1.0,303.0,46.688,1636.46,-78.535,222.421,0.0,303.0,704.007,1636.46,-1191.618,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4269.416,1950.132,6966.186,1195.216,6670.079,1868.753,4456.821,2003.207,7280.603,1260.19,6987.987,1925.654,40.44,1.0,697.0,106.197,6503.623,-172.863,695.687,0.0,697.0,2891.593,6503.623,-5112.249,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4288.819,2045.033,6673.779,1152.126,6602.932,1974.705,4472.76,2047.279,6989.262,1221.561,6926.338,2019.183,23.36,1.0,160.0,44.557,3363.567,-66.136,604.443,0.0,160.0,1373.683,3363.567,-2154.682,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4310.842,1946.636,6972.038,1206.773,6734.718,1886.967,4496.553,1969.778,7315.975,1277.397,7062.28,1930.827,26.16,1.0,1015.0,142.374,5296.415,-259.807,445.666,0.0,1015.0,2415.039,5296.415,-4405.082,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4291.67,1935.38,6623.563,1194.747,6691.391,1891.949,4469.75,1988.256,6942.208,1259.046,6998.618,1940.882,23.68,1.0,365.0,62.977,3532.978,-102.812,496.494,0.0,365.0,1511.772,3532.978,-2539.99,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4350.807,2021.231,6520.528,1185.532,6732.018,1969.597,4536.181,2104.371,6800.907,1249.334,7045.543,2026.82,23.88,1.0,218.0,45.868,4462.835,-68.249,776.018,0.0,218.0,1835.553,4462.835,-2910.799,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4370.861,2085.949,6512.761,1145.522,6671.71,2070.013,4564.443,2100.13,6843.144,1212.317,6999.453,2129.434,27.98,1.0,353.0,76.281,6735.419,-125.234,907.45,0.0,353.0,2901.567,6735.419,-4920.52,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4419.465,2049.053,6809.655,1168.102,6765.667,2073.263,4612.153,2101.876,7130.979,1234.712,7092.145,2132.161,52.12,1.0,528.0,125.598,11599.692,-200.151,1768.561,0.0,528.0,4894.618,11599.692,-8062.569,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4446.514,2167.648,6612.042,1171.812,6800.168,2092.86,4650.13,2265.49,6928.265,1233.343,7127.373,2172.888,41.86,1.0,786.0,118.738,12853.084,-196.633,1583.344,0.0,786.0,5610.858,12853.084,-9686.396,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4501.076,2092.276,6541.505,1127.122,6764.968,2237.185,4695.985,2198.652,6870.328,1192.193,7090.575,2301.395,31.0,1.0,467.0,78.982,7569.607,-127.639,1087.808,0.0,467.0,3227.089,7569.607,-5393.99,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4489.478,2095.57,6470.988,1124.42,6747.942,2231.015,4694.442,2167.46,6784.862,1182.135,7068.831,2320.053,40.14,1.0,807.0,127.916,16204.103,-216.787,1863.95,0.0,807.0,7139.523,16204.103,-12476.204,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4488.083,2028.845,6507.767,1125.22,6748.153,2228.013,4686.352,2112.894,6806.343,1188.376,7073.275,2299.428,40.04,1.0,1467.0,205.974,27745.242,-373.671,2234.241,0.0,1467.0,12701.145,27745.242,-23276.759,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4531.885,2044.041,6446.469,1093.868,6728.984,2334.787,4731.106,2059.076,6727.359,1154.397,7049.781,2412.431,18.4,1.0,140.0,35.956,3689.13,-53.819,665.466,0.0,140.0,1505.389,3689.13,-2358.197,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4539.173,2056.861,6498.597,1096.972,6742.505,2335.84,4742.151,2107.28,6765.575,1157.142,7066.338,2417.963,12.78,1.0,73.0,21.73,2520.962,-30.867,450.754,0.0,73.0,1030.693,2520.962,-1619.453,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4643.271,2104.567,7107.991,1120.046,6892.949,2393.593,4844.236,2128.216,7442.444,1188.522,7231.454,2457.019,59.76,1.0,1346.0,202.883,19640.142,-347.742,2201.623,0.0,1346.0,8682.104,19640.142,-15236.896,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4709.155,2015.056,6761.509,1131.55,6981.94,2436.369,4924.299,2089.076,7102.097,1193.776,7322.068,2526.53,34.6,1.0,578.0,102.599,12657.641,-171.476,1783.326,0.0,578.0,5413.988,12657.641,-9090.988,0.0
